channel_id,channel_name,category,subscribers,total_views,total_videos,recent_video_count,avg_recent_views,median_recent_views,avg_duration_seconds,posting_interval_days,avg_engagement_rate,view_per_subscriber,latest_video_title,latest_video_url,latest_video_views,latest_video_published_at
UCeDlzhpU8NZAlL1rsXp54zQ,AlofokeMusicSounds,Trending,788000,125196961,19,8,4764361.25,5068721.5,150.38,4.91,0.0535,158.8794,EL CAPITAN ALO X LA PERVERSA X JLEXIS X MICHAEL FLORES X ALOFOKE MUSIC - NO ESTAMOS HABLANDO DE TI,https://www.youtube.com/watch?v=OWLJ0I7xI1c,1287966,2025-12-08T00:44:14+00:00
UCs-w7E2HZWwXmjt9RTvBB_A,Settled,Trending,768000,144125017,245,8,659882.38,575633.5,4739.75,32.75,0.0503,187.6628,the second island | Sailing Locked (#2),https://www.youtube.com/watch?v=BBlqpNlGgaQ,220851,2025-12-10T02:37:57+00:00
UCoJ2B8qqG_OBth7RJQ893YQ,Redman,Trending,623000,233135156,220,8,28724.12,6455.0,178.62,3.9,0.0932,374.2137,Redman - Don't Give AF [J@q Boi Be@tz],https://www.youtube.com/watch?v=XRsX_7EZT_s,33547,2025-12-10T02:00:07+00:00
UClCWVnDiDSKbm94eKcxSkpQ,Bluff,Trending,620000,504307800,1094,8,137792.0,136606.0,1943.75,0.71,0.0384,813.3997,I Took My Slot Machine Profits to Table Games,https://www.youtube.com/watch?v=gVAuwA-Fhsw,131776,2025-12-09T17:01:16+00:00
UCD9qy7cc3bb5rrMjJ9tRTTA,Digital Car Addict,Trending,614000,258309777,3885,8,36322.88,14989.0,1615.0,0.95,0.1015,420.7,GTA 5 - DLC Vehicle Customization - Vapid FMJ Mk V (Ford GT Mk IV),https://www.youtube.com/watch?v=ZytzspjcCMM,3861,2025-12-10T13:05:30+00:00
UCGX5ZjXJidhFuh_eLhniOjA,KENNY HAITI,Trending,586000,144835868,63,8,556296.62,10706.0,196.5,58.13,0.0447,247.1602,Kenny Haiti -  LanmoU Pa PoU MweN ( Visualizer/Lyrics ),https://www.youtube.com/watch?v=GVrx0_xrHu4,48529,2025-12-10T00:00:06+00:00
UCGxYHAR9f_leP1yXDXNNDsA,Fir,Trending,583000,141885852,178,8,288599.38,221314.0,3672.62,19.18,0.0475,243.372,Hiding in IMPOSSIBLE SPOTS in SMO Geoguesser,https://www.youtube.com/watch?v=R_Mw1CySW2c,148042,2025-12-09T23:51:25+00:00
UCZrNwndjBz4ujOLBWm51Fug,MozzyVEVO,Trending,497000,1246951446,382,8,407261.12,302889.0,197.75,17.54,0.0235,2508.9566,Mozzy - BUICK TO BENZ (Official Video),https://www.youtube.com/watch?v=zsD31nW2tZ8,351623,2025-12-08T22:38:00+00:00
UCrLar1K8tHn5Lg-cAm_5Kcw,JahshiiMusic,Trending,459000,157020546,47,8,457304.38,177064.0,177.75,30.74,0.0539,342.0927,Jahshii - AKtion (Official Video),https://www.youtube.com/watch?v=yj3iiQ1fX4c,62852,2025-12-10T05:01:14+00:00
UCpXyxLahbn7vZfR5fexenuw,Flats Two,Trending,396000,351669975,2223,8,130204.0,84182.0,467.0,1.46,0.0527,888.0555,Well it didn't take long for Luna to get buffed again,https://www.youtube.com/watch?v=6Z8lKDsS0M8,57247,2025-12-10T01:15:01+00:00
UCXSHOjS30YMaGRgwuuxBfLw,ChronicLawVEVO,Trending,387000,1178896425,547,8,281028.5,200638.5,170.38,3.01,0.0406,3046.244,"Chronic Law, Dj Mac - Badness Upgrade 2.0  (Official Music Video) | WYFLRIDDIM",https://www.youtube.com/watch?v=llyL60rMDNk,361334,2025-12-08T21:01:04+00:00
UCSo-bBeqCDsVGbOv6nxgZwQ,Legends6K,Trending,384000,76918095,2005,8,20444.75,18589.5,13274.62,0.57,0.017,200.3075,the #1 WARZONE REBIRTH Player + NEW UPDATE,https://www.youtube.com/watch?v=_LGsIuxRqt0,45420,2025-12-10T12:45:29+00:00
UCf7WOF7QcF5dWpUUU225JgQ,TommyLeeSpartaVEVO,Trending,195000,604747590,260,8,912829.88,594626.5,198.0,7.91,0.0465,3101.2697,Tommy Lee Sparta - Crown Clown (Official Music Video),https://www.youtube.com/watch?v=VtqwcQ6ay5k,515035,2025-12-09T04:32:29+00:00
UCa2MXjBtWn91WPHWRBCLI6Q,Teaser Universe,Trending,164000,74450262,302,8,37293.88,28108.0,66.5,0.42,0.0219,453.965,Avengers: Doomsday - First Trailer (2026) Robert Downey Jr | Marvel Studios,https://www.youtube.com/watch?v=9CcLoCygAPM,76944,2025-12-09T15:30:06+00:00
UCuRYugT7op_l3_DTTHFxLKw,Shawn Storm Official,Trending,159000,25084907,199,8,39076.5,34951.0,161.88,14.91,0.0729,157.7667,Shawn Storm - Who Dat (Masicka Diss) ,https://www.youtube.com/watch?v=4R2jKJZ-MWY,63504,2025-12-09T22:04:08+00:00
UCoByr6Sz13cOrXPhxDEN3Dg,Necros2,Trending,149000,102574157,679,8,80258.88,38634.5,761.88,0.71,0.0379,688.4172,ROGUE IS FINALLY HERE,https://www.youtube.com/watch?v=XCv-B5g37v8,53130,2025-12-09T18:30:45+00:00
UCODOKcX4c0q6FBCxQCLIj-g,Film Stocked,Trending,146000,102790635,3056,8,60527.38,45667.5,558.25,1.15,0.0712,704.0454,STRANGER THINGS SEASON 5 VOLUME 2 EPISODE RUNTIME PREDICTIONS!,https://www.youtube.com/watch?v=m0M54I7u_KM,27053,2025-12-10T02:23:08+00:00
UCmiCK8aqFP3Fx4-SHWKZLsA,Red Barrels,Trending,145000,22543738,178,8,64099.75,43478.0,68.0,0.97,0.0812,155.4741,#TheOutlastTrials Project Messiah Season 5 update OUT NOW!,https://www.youtube.com/watch?v=UvcCdQMdZWI,18203,2025-12-09T17:35:32+00:00
UCOzaso7QxXulLZc9fXxcg5A,Cozy Rivals,Trending,143000,19023815,130,8,84484.5,77071.5,1191.38,3.82,0.051,133.0337,First Look at Every Hero Balance Change in Season 5.5 | HUGE Patch Breakdown | Marvel Rivals,https://www.youtube.com/watch?v=bPrKREbiyFM,123050,2025-12-09T18:54:42+00:00
